package,member,total
cmd/internal/pprof/driver,PProf,3
bufio,NewReadWriter,3
sync,Locker.Lock,3
jarvis/data,Get,3
sync,Locker.Unlock,3
syscall,Setuid,3
math,Atan,3
crypto/tls,NewLRUClientSessionCache,3
clive/zx/zux,NewZX,3
syscall,Flock,3
crypto/x509,DecryptPEMBlock,3
syscall,CmsgSpace,3
net/rpc,RegisterName,3
stm32/hal/system,Setup,3
crypto/sha512,Sum512,3
net/url,UserPassword,3
math,Cbrt,3
time,Time.UnmarshalBinary,3
cmd/internal/obj,Bputc,3
flag,Parsed,3
container/heap,Fix,3
time,Time.MarshalBinary,3
reflect,Value.Set,3
crypto/tls,Config.BuildNameToCertificate,3
mime/multipart,NewReader,3
net,Conn.Fatalf,3
unicode/utf16,Encode,3
time,Time.Round,3
net/http/httputil,DumpRequestOut,3
reflect,Type.Fatalf,3
syscall,RouteRIB,3
math/big,NewFloat,3
net/http,ProxyURL,3
go/types,NewTuple,3
net,HardwareAddr,3
debug/elf,NewFile,3
C,ushortSet,3
cmd/link/internal/ld,Elfemitreloc,3
time,Time.String,3
go/types,NewPackage,3
sync/atomic,SwapInt64,3
math/rand,Int63n,3
syscall,CloseHandle,3
syscall,Getrusage,3
appengine,BlobKey,3
crypto/cipher,NewCBCEncrypter,3
sampledata,CheckTile,3
math,Log2,3
crypto/tls,NewListener,3
unicode/utf16,DecodeRune,3
fmt,EXPECT,3
cmd/link/internal/ld,Cwrite,3
strings,TrimLeftFunc,3
go/types,ObjectString,3
unicode/utf16,IsSurrogate,3
unicode,IsOneOf,3
time,Time.Read,3
bytes,Buffer.Flush,3
crypto/ecdsa,Verify,3
math/big,Int.Exp,3
net/http,Server.ListenAndServe,3
bytes,Buffer.Set,3
net,IP.Equal,3
cmd/link/internal/ld,Asmbelf,3
C,double,3
go/types,Identical,3
cmd/compile/internal/gc,Brrev,3
jarvis/data,Set,3
time,Time.Format,3
cmd/link/internal/ld,Le32,3
runtime,RaceReleaseMerge,3
sync,Pool.Put,3
log/syslog,New,3
net,LookupHost,3
strings,SplitAfterN,3
io,ReaderAt.ReadAt,3
testing/quick,Value,3
stm32/hal/system/timer/rtc,Setup,3
syscall,Write,3
runtime,RaceAcquire,3
hash/fnv,New32,3
reflect,SliceOf,3
C,GLushort,3
net/http,ReadResponse,3
appengine/datastore,Time,3
sync,Cond.Broadcast,3
C,setVal,3
runtime,RaceWriteRange,3
syscall,ParseRoutingSockaddr,3
sync,Pool.Get,3
C,glBindBuffer,3
os,Lchown,3
cmd/link/internal/ld,Asmbelfsetup,3
syscall,Mknod,3
syscall,Getpeername,3
crypto,Hash,3
syscall,UTF16FromString,3
net/rpc,NewServer,3
time,Time.UnmarshalText,3
os,FileInfo.IsDir,2
net/http/httputil,NewSingleHostReverseProxy,2
cmd/internal/obj,Bterm,2
runtime,GostringW,2
os,NewMockFileInfo,2
common,MakeClientFromCtx,2
net/url,Values.Get,2
readline,Readline,2
io,ByteReader.ReadByte,2
net,IP.IsLinkLocalUnicast,2
net,DialTCP,2
flag,FlagSet.Args,2
syscall,GetStdHandle,2
C,realloc,2
runtime/internal/atomic,Cas,2
sync/atomic,LoadUint64,2
C,StartApp,2
clive/zx,HasPrefix,2
compress/lzw,NewWriter,2
dfss/dfssc/common,FindNextIndex,2
syscall,WaitForSingleObject,2
hash/adler32,New,2
sync/atomic,StoreUint64,2
C,getContextCount,2
clive/zx,GetAll,2
runtime,Gostringnocopy,2
clive/cmd,Fatal,2
cmd/compile/internal/ssa,NewConfig,2
cmd/link/internal/ld,Dwarfblk,2
syscall,Getpgid,2
go/types,TypeString,2
cmd/asm/internal/arch,IsPPC64RLD,2
cmd/link/internal/ld,Linkrlookup,2
C,ub4,2
