FQN,Member,Type,occurrences
java.lang.Thread,setContextClassLoader,method,287
java.lang.reflect.Method,getAnnotation,method,287
java.lang.Thread,isAlive,method,285
java.io.DataInput,readInt,method,285
java.util.Calendar,MILLISECOND,variable,285
java.lang.Float,toString,method,283
java.net.InetAddress,getLocalHost,method,282
java.io.DataOutput,write,method,281
java.io.ByteArrayOutputStream,close,method,281
java.lang.Object,getBoVersion,method,280
java.net.URL,getFile,method,279
java.lang.annotation.ElementType,TYPE,variable,278
java.util.TreeMap,get,method,277
java.util.Calendar,DATE,variable,276
java.util.Locale,ROOT,variable,276
java.lang.StringBuffer,setLength,method,276
java.net.URI,getPath,method,275
java.lang.Exception,expectMessage,method,274
java.util.List,listIterator,method,274
java.lang.reflect.Array,get,method,274
java.util.Properties,get,method,271
java.util.function.Supplier,get,method,267
java.util.HashSet,size,method,267
java.lang.Short,MIN_VALUE,variable,267
java.sql.ResultSet,getMetaData,method,266
java.nio.file.Files,exists,method,266
java.nio.ByteBuffer,rewind,method,264
java.text.SimpleDateFormat,setTimeZone,method,263
java.lang.reflect.InvocationTargetException,getTargetException,method,259
java.math.BigInteger,compareTo,method,259
java.lang.StringBuilder,deleteCharAt,method,258
java.net.HttpURLConnection,setRequestMethod,method,258
java.lang.ProcessBuilder,start,method,258
java.util.concurrent.atomic.AtomicInteger,set,method,258
java.util.Locale,setDefault,method,256
java.util.Objects,hashCode,method,254
java.util.concurrent.atomic.AtomicBoolean,compareAndSet,method,254
java.util.Queue,size,method,253
java.util.function.Predicate,test,method,252
java.lang.StringBuilder,insert,method,252
java.util.Locale,getLanguage,method,252
java.util.Calendar,setTimeInMillis,method,251
java.util.Timer,cancel,method,251
java.lang.ClassLoader,getSystemClassLoader,method,250
java.lang.reflect.Modifier,isPublic,method,250
java.lang.StringBuffer,charAt,method,250
java.lang.String,name,method,250
java.io.BufferedWriter,append,method,249
java.nio.ByteBuffer,clear,method,249
java.lang.Double,x,method,248
java.lang.Float,isNaN,method,247
java.io.RandomAccessFile,seek,method,246
java.time.LocalTime,of,method,244
java.util.Random,nextBoolean,method,244
java.sql.Connection,setAutoCommit,method,244
java.util.List,forEach,method,243
java.util.concurrent.Executors,newCachedThreadPool,method,243
java.lang.ClassNotFoundException,printStackTrace,method,243
java.util.Queue,isEmpty,method,242
java.lang.Number,longValue,method,242
java.lang.Integer,equals,method,241
java.lang.reflect.Constructor,setAccessible,method,241
java.util.EnumMap,put,method,239
java.util.stream.Stream,of,method,239
java.util.EnumSet,allOf,method,239
java.io.DataOutputStream,close,method,239
java.lang.Float,intBitsToFloat,method,239
java.util.Timer,schedule,method,236
java.util.concurrent.locks.ReentrantReadWriteLock,readLock,method,236
java.util.Random,nextLong,method,235
java.net.URL,getProtocol,method,235
java.nio.ByteOrder,BIG_ENDIAN,variable,233
java.lang.Byte,MIN_VALUE,variable,233
java.util.LinkedList,addLast,method,233
java.nio.ByteBuffer,putLong,method,232
java.lang.annotation.ElementType,METHOD,variable,232
java.net.URI,getHost,method,231
java.util.concurrent.atomic.AtomicInteger,getAndIncrement,method,229
java.lang.Float,TYPE,variable,229
java.io.ObjectInputStream,defaultReadObject,method,229
java.security.KeyPair,getPrivate,method,229
java.util.function.Consumer,accept,method,229
java.io.Writer,flush,method,229
java.util.Collections,reverse,method,228
java.io.File,getAbsoluteFile,method,228
java.sql.PreparedStatement,setNull,method,227
java.sql.SQLException,toString,method,227
java.net.HttpURLConnection,disconnect,method,226
java.sql.PreparedStatement,setTimestamp,method,226
java.util.Collections,synchronizedList,method,225
java.util.concurrent.Semaphore,release,method,225
java.util.concurrent.ConcurrentMap,putIfAbsent,method,225
java.lang.Boolean,getBoolean,method,225
java.util.Scanner,nextLine,method,223
java.lang.Class,getDeclaredMethods,method,222
java.nio.file.Path,getFileName,method,222
java.lang.Character,toString,method,221
java.lang.Thread,setName,method,220
java.net.URL,getHost,method,220
java.util.Collection,clear,method,220
java.io.StringWriter,append,method,220
java.lang.InterruptedException,getMessage,method,220
java.lang.annotation.Annotation,annotationType,method,219
java.nio.ByteBuffer,getLong,method,218
java.lang.Enum,valueOf,method,218
java.net.InetSocketAddress,getPort,method,217
