fqn,member,type,total
org.worldgrower.Constants,GOLD,variable,45
org.hibernate.SessionFactory,openSession,method,45
com.google.common.collect.ListMultimap,get,method,45
java.lang.ClassNotFoundException,toString,method,45
android.graphics.Rect,offset,method,45
com.squareup.wire.internal.Internal,equals,method,45
org.eclipse.jface.layout.GridLayoutFactory,fillDefaults,method,45
com.facebook.presto.spi.block.BlockBuilder,build,method,45
org.telegram.messenger.MessageObject,messageOwner,method,45
javax.xml.stream.XMLStreamConstants,START_ELEMENT,variable,45
android.view.MotionEvent,setAction,method,45
org.apache.hyracks.algebricks.core.algebra.operators.logical.AbstractLogicalOperator,getOperatorTag,method,45
org.apache.hadoop.hbase.util.Bytes,toHex,method,45
tigase.server.Packet,getElement,method,45
javafx.scene.control.Menu,getItems,method,45
javafx.scene.paint.Color,GREY,variable,45
android.content.DialogInterface,show,method,45
jmri.jmrit.operations.trains.Train,getName,method,45
javax.ws.rs.core.MediaType,APPLICATION_OCTET_STREAM,variable,45
org.joda.time.Instant,now,method,45
java.nio.channels.SocketChannel,write,method,45
entities.relationship.OneToManyChild,identifier,method,45
org.everrest.core.impl.ContainerResponse,getStatus,method,45
com.intellij.openapi.command.WriteCommandAction,runWriteCommandAction,method,45
hudson.util.FormValidation,ok,method,45
sun.util.logging.PlatformLogger,getLogger,method,45
gnu.trove.TIntObjectHashMap,get,method,45
org.antlr.stringtemplate.StringTemplate,setAttribute,method,45
java.text.Format,format,method,45
org.jfree.io.SerialUtilities,readPaint,method,45
org.apache.sqoop.hcat.HCatalogTestUtils.KeyType,NOT_A_KEY,variable,45
ims.domain.exceptions.DomainInterfaceException,printStackTrace,method,45
org.worldgrower.World,addWorldObject,method,45
org.bukkit.event.player.PlayerInteractEvent,getPlayer,method,45
com.watabou.utils.PointF,y,method,45
org.eclipse.persistence.sessions.Project,getDescriptor,method,45
com.redhat.ceylon.langtools.tools.javac.util.ListBuffer,toList,method,45
railo.transformer.bytecode.util.Types,OBJECT,variable,45
org.apache.poi.ss.usermodel.Sheet,createRow,method,45
javax.swing.JSpinner,addChangeListener,method,45
com.google.gerrit.reviewdb.client.Change,S,variable,45
com.intellij.openapi.editor.RangeMarker,getStartOffset,method,45
com.buschmais.xo.api.XOManager,currentTransaction,method,45
co.cask.coopr.scheduler.ClusterAction,CLUSTER_CREATE,variable,45
org.jboss.seam.log.Log,info,method,45
org.elasticsearch.threadpool.ThreadPool,N,variable,45
org.spincast.core.exchange.IDefaultRequestContext,response,method,45
net.minecraft.item.ItemStack,getMetadata,method,45
java.sql.PreparedStatement,setFloat,method,45
org.camunda.bpm.engine.rest.helper.MockProvider,EXAMPLE_DECISION_DEFINITION_ID,variable,45
org.hawkular.btm.api.logging.Logger,finest,method,45
org.finra.herd.model.api.xml.EmrCluster,getEmrClusterName,method,45
com.fasterxml.jackson.databind.module.SimpleModule,addSerializer,method,45
okio.BufferedSink,writeUtf,method,45
co.nubetech.crux.model.RowAliasFilter,setRowAlias,method,45
br.com.spedparser.enums.TipoCampo,NUMERICO,variable,45
osmo.tester.model.Requirements,add,method,45
org.junit.runner.Result,getFailureCount,method,45
test.Ice.binding.Test.RemoteCommunicatorPrx,createObjectAdapter,method,45
java.lang.String,getPath,method,45
org.apache.hadoop.hbase.index.ColumnQualifier.ValueType,S,variable,45
java.net.Socket,setTcpNoDelay,method,45
org.apache.lucene.index.IndexOptions,NONE,variable,45
org.opencb.datastore.core.QueryResult,getResult,method,45
org.alfresco.service.cmr.action.Action,getParameterValue,method,45
javafx.beans.InvalidationListenerMock,check,method,45
java.util.regex.Pattern,pattern,method,45
java.lang.String,exists,method,45
org.eclipse.core.resources.IResource,getFullPath,method,45
javafx.fxml.FXMLLoader,load,method,45
com.google.gwt.safehtml.shared.SafeHtmlBuilder,append,method,45
org.eclipse.persistence.tools.workbench.utility.diff.ReflectiveDifferentiator,addKeyFieldsNamed,method,45
org.eclipse.core.resources.IResource,DEPTH_INFINITE,variable,45
org.roda.core.RodaCoreFactory,getIndexService,method,45
java.awt.geom.PathIterator,SEG_MOVETO,variable,45
java.util.concurrent.locks.ReentrantReadWriteLock.WriteLock,lock,method,45
javax.crypto.Mac,update,method,45
com.stumbleupon.async.Deferred,fromResult,method,45
org.eclipse.core.runtime.preferences.IEclipsePreferences,flush,method,45
com.google.gwt.event.logical.shared.ValueChangeEvent,getValue,method,45
com.gemstone.gemfire.cache.execute.FunctionService,onRegion,method,45
com.intellij.psi.codeStyle.JavaCodeStyleManager,getInstance,method,45
java.io.File,seek,method,45
org.openjdk.jmh.annotations.Scope,T,variable,45
org.apache.maven.project.MavenProject,getBuild,method,45
io.netty.channel.embedded.EmbeddedChannel,readOutbound,method,45
org.intermine.objectstore.query.ConstraintSet,addConstraint,method,45
lucee.runtime.op.Caster,toBooleanValue,method,45
rx.observers.TestSubscriber,create,method,45
android.graphics.Typeface,DEFAULT,variable,45
org.apache.commons.cli.OptionBuilder,hasArg,method,45
org.esa.snap.rcp.SnapApp,getDefault,method,45
org.powermock.api.mockito.PowerMockito,mock,method,45
org.apache.hadoop.hbase.client.ResultScanner,close,method,45
hudson.model.TaskListener,getLogger,method,45
android.content.ContentValues,putNull,method,45
java.security.NoSuchAlgorithmException,getMessage,method,45
android.bluetooth.BluetoothAdapter,getDefaultAdapter,method,45
java.awt.Rectangle,contains,method,45
jef.accelerator.asm.MethodVisitor,visitInsn,method,45
javax.annotation.processing.ProcessingEnvironment,getElementUtils,method,45
net.minecraftforge.common.util.ForgeDirection,SOUTH,variable,45
java.util.prefs.Preferences,getBoolean,method,45
java.security.PrivateKey,getAlgorithm,method,45
android.util.Log,INFO,variable,45
javax.swing.border.TitledBorder,TOP,variable,45
com.mongodb.DBCursor,hasNext,method,45
com.aptoide.amethyst.Aptoide,getContext,method,45
net.minecraft.world.IBlockAccess,getBlockMetadata,method,45
java.awt.Cursor,getDefaultCursor,method,45
org.jboss.staxmapper.XMLExtendedStreamReader,getAttributeCount,method,45
com.google.gdata.data.ExtensionDescription,getDefaultDescription,method,45
java.lang.invoke.VarHandle,get,method,45
org.eclipse.egit.ui.internal.UIText,C,variable,45
org.apache.cassandra.config.CFMetaData,ksName,method,45
net.minecraftforge.fml.common.registry.GameRegistry,registerTileEntity,method,45
android.support.design.widget.NavigationView,O,variable,45
io.netty.buffer.Unpooled,copiedBuffer,method,45
org.olat.core.logging.OLog,debug,method,45
java.util.prefs.Preferences,getInt,method,45
cpw.mods.fml.common.Optional,M,variable,45
org.apache.activemq.ActiveMQConnectionFactory,createConnection,method,45
java.lang.StringBuffer,replace,method,45
com.intellij.openapi.editor.Document,getCharsSequence,method,45
org.apache.wicket.markup.html.WebMarkupContainer,iterator,method,45
java.beans.Introspector,getBeanInfo,method,45
org.keycloak.models.KeycloakSession,sessions,method,45
org.hibernate.Session,get,method,45
java.net.URISyntaxException,printStackTrace,method,45
com.blazebit.persistence.testsuite.entity.KeysetEntity,a,method,45
com.ardublock.translator.block.TranslatorBlock,toCode,method,45
org.sonar.server.computation.component.ReportComponent,builder,method,45
org.apache.ddlutils.model.Database,getName,method,45
org.nexage.sourcekit.util.VASTLog,d,method,45
com.cloud.utils.db.SearchBuilder,create,method,45
org.apache.activemq.artemis.utils.RandomUtil,randomString,method,45
javax.lang.model.element.TypeElement,getEnclosedElements,method,45
com.alibaba.rocketmq.remoting.protocol.RemotingCommand,getBody,method,45
org.apache.directory.api.ldap.model.entry.Attribute,size,method,45
android.os.HandlerThread,start,method,45
org.elasticsearch.common.settings.Settings,getAsMap,method,45
org.hsqldb.lib.OrderedHashSet,add,method,45
com.ximpleware.VTDNav,toString,method,45
org.drools.core.common.AgendaItem,getRule,method,45
java.lang.Class,hasModifierProperty,method,45
org.opencms.file.CmsUser,getAdditionalInfo,method,45
butterknife.ButterKnife,unbind,method,45
org.ovirt.engine.ui.common.widget.table.column.AbstractTextColumn,makeSortable,method,45
org.apache.flex.abc.semantics.InstructionFactory,createModifiedInstruction,method,45
neembuu.uploader.exceptions.NUException,printError,method,45
org.reactivestreams.Subscription,request,method,45
android.widget.ImageButton,setEnabled,method,45
io.crate.action.sql.SQLResponse,rows,method,45
org.jfree.io.SerialUtilities,writePaint,method,45
com.google.gerrit.reviewdb.Account,I,variable,45
org.eclipse.core.runtime.IStatus,WARNING,variable,45
com.asakusafw.compiler.flow.FlowGraphGenerator,definePseud,method,45
org.elasticsearch.action.ActionListener,onResponse,method,45
android.view.MenuItem,getActionView,method,45
com.intellij.openapi.diagnostic.Logger,debug,method,45
tectonicus.texture.SubTexture,texture,method,45
javax.lang.model.element.Element,asType,method,45
org.apache.zookeeper.Watcher.Event.EventType,N,variable,45
gnu.io.SerialPort,getOutputStream,method,45
javax.net.ssl.TrustManagerFactory,getInstance,method,45
org.projectfloodlight.openflow.types.TransportPort,of,method,45
io.netty.handler.codec.http.HttpMethod,GET,variable,45
com.google.security.zynamics.binnavi.Gui.Users.Interfaces.IUser,getUserId,method,45
android.widget.ListView,setOnItemLongClickListener,method,45
password.pwm.PwmApplication,getConfig,method,45
io.netty.channel.ChannelHandlerContext,pipeline,method,44
org.kie.api.runtime.KieContainer,newKieSession,method,44
com.google.devtools.build.lib.rules.objc.XcodeProvider.Builder,add,method,44
org.apache.tinkerpop.gremlin.util.iterator.IteratorUtils,count,method,44
org.jdom.Element,getAttribute,method,44
org.matheclipse.core.interfaces.IExpr,isPresent,method,44
java.awt.AlphaComposite,getInstance,method,44
org.oscarehr.util.LoggedInInfo,getLoggedInInfoFromSession,method,44
org.ovirt.engine.core.common.action.VdcActionType,R,variable,44
ninja.session.FlashScope,error,method,44
org.apache.ignite.configuration.CacheConfiguration,setName,method,44
org.eclipse.jdt.internal.corext.refactoring.RefactoringCoreMessages,R,variable,44
android.view.View,SYSTEM_UI_FLAG_LAYOUT_HIDE_NAVIGATION,variable,44
org.bukkit.plugin.Plugin,getLogger,method,44
org.openhab.binding.tinkerforge.internal.TinkerforgeErrorHandler,TF_NOT_CONNECTION_EXCEPTION,variable,44
org.bukkit.util.Vector,getX,method,44
java.sql.Blob,length,method,44
org.apache.oozie.service.JPAService,execute,method,44
com.opengamma.strata.basics.ReferenceData,standard,method,44
sun.util.logging.PlatformLogger,finer,method,44
org.openhab.binding.tinkerforge.internal.model.OHTFDevice,setTfConfig,method,44
com.virtusa.isq.vtaf.objectmap.ObjectLocator,getLogicalName,method,44
org.springframework.http.HttpStatus,CREATED,variable,44
org.intermine.objectstore.query.Query,setConstraint,method,44
java.lang.Object,y,method,44
railo.runtime.type.KeyImpl,intern,method,44
java.lang.reflect.Type,toString,method,44
com.liferay.portal.kernel.search.IndexableType,DELETE,variable,44
org.jcryptool.core.logging.utils.LogUtil,logInfo,method,44
lcmc.host.domain.Host,getName,method,44
android.animation.ValueAnimator,setInterpolator,method,44
org.apache.pig.data.BagFactory,newDefaultBag,method,44
com.google.gdata.data.ExtensionDescription,setRequired,method,44
org.spongycastle.util.encoders.Hex,toHexString,method,44
javax.swing.JFileChooser,DIRECTORIES_ONLY,variable,44
org.modeshape.jcr.value.Path,subpath,method,44
java.lang.Object,getAddress,method,44
java.net.URI,isAbsolute,method,44
javax.ws.rs.core.MultivaluedMap,getFirst,method,44
org.hibernate.LockMode,NONE,variable,44
java.lang.Byte,toString,method,44
org.onlab.packet.MacAddress,valueOf,method,44
com.google.typography.font.sfntly.Font,getTable,method,44
org.eclipse.persistence.jaxb.javamodel.Helper,getClassLoader,method,44
javax.swing.JTable,getTableHeader,method,44
java.lang.Object,getOrderingHospital,method,44
com.redhat.ceylon.model.typechecker.model.Type,getSatisfiedTypes,method,44
org.testng.AssertJUnit,fail,method,44
org.olat.core.util.resource.OresHelper,createOLATResourceableInstance,method,44
org.apache.maven.plugin.logging.Log,debug,method,44
net.minecraft.nbt.NBTTagCompound,setShort,method,44
com.intellij.util.ui.UIUtil,invokeAndWaitIfNeeded,method,44
org.bukkit.inventory.ItemStack,getAmount,method,44
android.view.View,setFocusable,method,44
wurmcraft.wurmatron.common.recipes.RecipeHelper,addShapeless,method,44
javax.servlet.ServletContext,getInitParameter,method,44
org.eclipse.swt.layout.GridData,BEGINNING,variable,44
org.eclipse.egit.ui.internal.UIText,G,variable,44
org.apache.hadoop.net.NetworkTopology,isOnSameRack,method,44
org.eclipse.collections.impl.tuple.Tuples,pair,method,44
org.drools.core.factmodel.FieldDefinition,getType,method,44
javax.swing.text.Segment,array,method,44
java.net.Socket,getLocalPort,method,44
java.io.ObjectOutput,close,method,44
java.awt.geom.PathIterator,isDone,method,44
org.kie.internal.runtime.StatefulKnowledgeSession,retract,method,44
java.lang.Double,equals,method,44
org.apache.hadoop.hbase.io.ImmutableBytesWritable,set,method,44
com.intellij.openapi.vcs.VcsConfiguration,S,variable,44
io.netty.bootstrap.ServerBootstrap,bind,method,44
java.util.logging.Logger,GLOBAL_LOGGER_NAME,variable,44
com.facebook.react.bridge.ReadableMap,getString,method,44
com.sun.jersey.api.client.UniformInterfaceException,getResponse,method,44
java.util.Date,set,method,44
jp.kshoji.driver.midi.device.MidiInputDevice,getUsbDevice,method,44
javafx.scene.Scene,getStylesheets,method,44
org.openhab.binding.tinkerforge.internal.TinkerforgeErrorHandler,TF_TIMEOUT_EXCEPTION,variable,44
org.matheclipse.core.expression.F,L,variable,44
javax.ws.rs.core.Response,R,variable,44
org.osgi.framework.Bundle,getHeaders,method,44
org.apache.hadoop.hbase.util.Pair,getSecond,method,44
org.eclipse.jface.action.Action,setImageDescriptor,method,44
org.jsoup.Jsoup,connect,method,44
org.jcodec.common.tools.MainUtils.Cmd,getArg,method,44
org.apache.tez.dag.api.EdgeProperty.DataSourceType,PERSISTED,variable,44
java.lang.Character,isSpaceChar,method,44
com.espertech.esper.util.JavaClassHelper,getBoxedType,method,44
java.awt.Font,getStyle,method,44
org.pentaho.di.ui.core.widget.TextVar,setToolTipText,method,44
org.thymeleaf.util.Validate,notNull,method,44
com.sun.javafx.tk.Toolkit,getToolkit,method,44
org.eclipse.core.runtime.Path,fromOSString,method,44
android.support.design.widget.TextInputLayout,setErrorEnabled,method,44
org.bukkit.Location,clone,method,44
android.view.MenuItem,setOnMenuItemClickListener,method,44
java.io.File,txt,method,44
org.jivesoftware.smackx.Form,setAnswer,method,44
smile.data.AttributeDataset,toArray,method,44
com.esotericsoftware.kryo.io.Output,writeInt,method,44
org.zstack.header.core.Completion,success,method,44
co.nubetech.crux.model.Mapping,setRowAlias,method,44
com.miz.db.DbAdapterTvShowEpisodes,createEpisode,method,44
com.salesforce.ide.ui.internal.ForceImages,get,method,44
com.google.gerrit.reviewdb.client.AccountGroup,UUID,variable,44
javax.crypto.SecretKeyFactory,getInstance,method,44
org.openqa.selenium.WebElement,isSelected,method,44
org.apache.hadoop.mapreduce.Job,setMapOutputKeyClass,method,44
net.minecraft.nbt.NBTTagCompound,getShort,method,44
info.aduna.iteration.CloseableIteration,close,method,44
com.intellij.openapi.actionSystem.CommonDataKeys,EDITOR,variable,44
java.lang.String,getLocalPart,method,44
org.apache.cassandra.config.ColumnDefinition,position,method,44
org.apache.axiom.om.OMElement,getAttributeValue,method,44
org.apache.hadoop.hbase.HConstants,EMPTY_BYTE_ARRAY,variable,44
org.apache.ignite.IgniteCache,remove,method,44
org.apache.commons.dbutils.DbUtils,closeQuietly,method,44
com.constellio.model.entities.schemas.Metadata,getDataStoreCode,method,44
com.mogujie.tt.utils.Logger,d,method,44
com.leacox.motif.extract.matchers.ArgumentMatchers,any,method,44
org.apache.giraph.utils.TestGraph,addEdge,method,44
omero.model.ExperimenterGroup,getDetails,method,44
com.shapesecurity.functional.data.HashCodeBuilder,put,method,44
com.google.common.io.CharStreams,toString,method,44
games.stendhal.server.core.engine.StendhalRPZone,add,method,44
ma.glasnost.orika.MapperFactory,getMapperFacade,method,44
com.puppycrawl.tools.checkstyle.api.DetailAST,getParent,method,44
javafx.collections.ObservableList,size,method,44
android.app.Dialog,setTitle,method,44
org.apache.hadoop.security.UserGroupInformation,createUserForTesting,method,44
android.os.HandlerThread,getLooper,method,44
org.apache.camel.CamelContext,addComponent,method,44
org.deviceconnect.message.DConnectMessage,EXTRA_ACCESS_TOKEN,variable,44
ims.framework.enumerations.DialogResult,YES,variable,44
net.simonvt.schematic.Cursors,getInt,method,44
co.nubetech.crux.model.RowAliasFilter,setFilterType,method,44
android.content.Context,mSurfaceView,method,44
com.google.security.zynamics.reil.OperandSize,WORD,variable,44
games.stendhal.server.entity.player.Player,sendPrivateText,method,44
org.jboss.netty.channel.MessageEvent,getChannel,method,44
com.intellij.openapi.editor.Document,getLineEndOffset,method,44
java.io.DataInputStream,readFloat,method,44
com.izforge.izpack.compiler.helper.AssertionHelper,parseError,method,44
org.unitime.timetable.gwt.shared.CourseRequestInterface,getAcademicSessionId,method,44
org.finra.herd.model.api.xml.EmrCluster,getNamespace,method,44
java.net.HttpURLConnection,setInstanceFollowRedirects,method,44
org.elasticsearch.common.collect.Tuple,v,method,44
co.cask.coopr.scheduler.JobScheduler,run,method,44
com.nhaarman.listviewanimations.itemmanipulation.InsertQueue,insert,method,44
com.gemstone.gemfire.cache.query.QueryService,createIndex,method,44
org.chocosolver.solver.variables.IntVar,getUB,method,44
javax.persistence.criteria.CriteriaQuery,select,method,44
org.springframework.boot.test.util.EnvironmentTestUtils,addEnvironment,method,44
org.eclipse.core.resources.IFile,getName,method,44
com.eucalyptus.context.Contexts,lookup,method,44
org.chromium.ui.base.LocalizationUtils,isLayoutRtl,method,44
games.stendhal.server.entity.player.Player,getQuest,method,44
io.hops.metadata.common.entity.Variable,F,variable,44
net.ripe.db.whois.update.authentication.Subject,hasPrincipal,method,44
org.springframework.core.env.Environment,getRequiredProperty,method,44
com.founder.fix.fixflow.core.impl.util.StringUtil,getString,method,44
org.eclipse.jgit.revwalk.RevCommit,getShortMessage,method,44
java.io.IOException,getCause,method,44
javax.servlet.ServletRequest,getAttribute,method,44
com.google.collide.json.shared.JsonArray,get,method,44
com.sun.squawk.VM,println,method,44
javax.xml.datatype.DatatypeFactory,newDuration,method,44
com.google.common.util.concurrent.MoreExecutors,directExecutor,method,44
org.sakaiproject.entitybroker.mocks.data.TestData,PREFIX,variable,44
javafx.scene.shape.Path,append,method,44
org.openhab.core.items.Item,getState,method,44
android.content.pm.PackageManager,getApplicationInfo,method,44
android.content.DialogInterface,BUTTON_NEGATIVE,variable,44
javax.swing.UIDefaults,getColor,method,44
co.nubetech.crux.model.RowAlias,getAlias,method,44
java.sql.CallableStatement,setString,method,44
mat.client.shared.ListBoxMVP,setEnabled,method,44
org.apache.ignite.configuration.CacheConfiguration,setCacheMode,method,44
org.renjin.gcc.codegen.MethodGenerator,visitInsn,method,44
org.pentaho.di.repository.Repository,saveJobEntryAttribute,method,44
java.io.RandomAccessFile,writeInt,method,44
java.net.URLConnection,connect,method,44
com.gs.collections.impl.test.Verify,assertInstanceOf,method,44
org.eclipse.persistence.queries.ReportQuery,addAttribute,method,44
com.google.gwt.json.client.JSONArray,size,method,44
aramframework.com.cmm.util.WebUtil,redirectJsp,method,44
org.egov.ptis.domain.entity.property.PropertyImpl,getPropertyDetail,method,44
com.opengamma.strata.collect.array.DoubleArray,size,method,44
java.math.BigDecimal,negate,method,44
org.bukkit.util.Vector,getZ,method,44
complex.storages.TestHelper,E,variable,44
org.chromium.content.browser.test.util.CriteriaHelper,pollInstrumentationThread,method,44
java.nio.CharBuffer,array,method,44
io.vertx.ext.unit.TestContext,async,method,44
com.sun.tools.javac.tree.DCTree,K,variable,44
org.apache.camel.CamelContext,createProducerTemplate,method,44
java.nio.file.Files,newOutputStream,method,44
org.alfresco.service.cmr.version.Version,getFrozenStateNodeRef,method,44
net.minecraft.world.biome.BiomeGenBase,H,variable,44
com.sun.jersey.api.client.Client,resource,method,44
co.nubetech.crux.model.RowAliasFilter,setValue,method,44
java.util.concurrent.CopyOnWriteArrayList,add,method,44
com.liferay.portal.kernel.search.IndexableType,REINDEX,variable,44
org.apache.hadoop.hive.metastore.api.FieldSchema,getName,method,44
co.cask.cdap.common.conf.Constants,G,variable,44
net.minecraft.item.ItemStack,setItemDamage,method,44
com.salesforce.androidsdk.util.test.JSONTestHelper,assertSameJSON,method,44
com.google.common.base.Stopwatch,stop,method,44
com.jakewharton.rxbinding.RecordingObserver,takeNext,method,44
javax.xml.ws.Service,M,variable,44
org.apache.ibatis.type.TypeAliasRegistry,registerAlias,method,44
info.novatec.inspectit.org.objectweb.asm.ClassReader,accept,method,43
ims.framework.enumerations.DynamicCellType,ENUMERATION,variable,43
org.eclipse.jface.viewers.TreeViewer,getControl,method,43
com.cinchapi.concourse.util.TestData,getLong,method,43
reports.ReportParams,paramMap,method,43
android.widget.ImageView,setColorFilter,method,43
android.text.SpannableString,length,method,43
java.io.RandomAccessFile,setLength,method,43
android.graphics.RectF,centerX,method,43
org.apache.oozie.client.CoordinatorJob,S,variable,43
org.alfresco.repo.cache.SimpleCache,get,method,43
com.thoughtworks.xstream.io.HierarchicalStreamReader,hasMoreChildren,method,43
org.apache.jackrabbit.oak.api.Tree,getPath,method,43
com.integreight.onesheeld.model.Shield,id,method,43
android.widget.ImageButton,setBackgroundResource,method,43
android.widget.ImageView,setBackgroundResource,method,43
info.novatec.inspectit.org.objectweb.asm.ClassReader,SKIP_DEBUG,variable,43
com.facebook.buck.testutil.integration.ZipInspector,assertFileExists,method,43
java.util.Properties,isEmpty,method,43
org.eclipse.swt.widgets.Combo,addSelectionListener,method,43
redis.clients.jedis.JedisPool,getResource,method,43
org.multibit.utils.ImageLoader,createImageIcon,method,43
org.uberfire.ext.wires.core.grids.client.model.GridData,getRow,method,43
net.minecraft.util.MathHelper,sin,method,43
org.eclipse.core.resources.IFile,getLocation,method,43
com.hp.ov.sdk.rest.http.core.client.RestParams,setType,method,43
android.os.AsyncTask,execute,method,43
android.widget.LinearLayout,setPadding,method,43
com.rhomobile.rhodes.extmanager.IRhoConfig,isExist,method,43
java.nio.file.Files,createDirectory,method,43
org.apache.hadoop.hbase.client.HTable,getScanner,method,43
org.chromium.net.test.util.TestWebServer,shutdown,method,43
com.github.lbroudoux.dsl.eip.parts.EipViewsRepository,C,variable,43
com.badlogic.gdx.utils.ObjectMap,put,method,43
android.animation.ObjectAnimator,addListener,method,43
java.net.HttpURLConnection,HTTP_INTERNAL_ERROR,variable,43
com.connectsdk.service.command.ServiceCommandError,notSupported,method,43
android.hardware.SensorManager,SENSOR_DELAY_NORMAL,variable,43
android.view.ViewGroup.LayoutParams,height,method,43
org.apache.pig.data.BagFactory,getInstance,method,43
javax.jms.Session,CLIENT_ACKNOWLEDGE,variable,43
org.apache.lucene.uninverting.UninvertingReader.Type,SORTED,variable,43
org.tms.api.Table,getCellValue,method,43
co.cask.tephra.TransactionExecutor,F,variable,43
android.accounts.AccountManager,getUserData,method,43
org.pentaho.di.core.Const,toInt,method,43
org.esa.snap.core.datamodel.MetadataElement,getAttributeDouble,method,43
org.telegram.messenger.BuffersStorage,reuseFreeBuffer,method,43
javafx.scene.control.ComboBox,getItems,method,43
org.restlet.data.Status,SUCCESS_OK,variable,43
android.hardware.Camera,stopPreview,method,43
org.sufficientlysecure.keychain.provider.KeychainContract,K,variable,43
org.exist.Namespaces,EXIST_NS,variable,43
org.jboss.forge.addon.ui.controller.CommandController,initialize,method,43
ch.qos.logback.core.read.ListAppender,list,method,43
org.nusco.narjillos.core.geometry.Vector,polar,method,43
org.chocosolver.solver.constraints.extension.Tuples,add,method,43
net.jforum.util.preferences.SystemGlobals,getSql,method,43
android.content.pm.PackageInfo,applicationInfo,method,43
javax.servlet.http.HttpServletRequest,getServerName,method,43
org.jetel.ctl.Stack,popString,method,43
org.telegram.SQLite.SQLitePreparedStatement,dispose,method,43
org.bouncycastle.cms.RecipientInformation,getContent,method,43
org.springframework.data.redis.connection.StringRedisConnection,del,method,43
android.content.pm.PackageManager.NameNotFoundException,printStackTrace,method,43
org.eclipse.core.runtime.IProgressMonitor,setTaskName,method,43
com.dotmarketing.portlets.folders.model.Folder,getPath,method,43
org.apache.cloudstack.api.ApiErrorCode,INTERNAL_ERROR,variable,43
com.helger.jcodemodel.JExpr,refthis,method,43
ims.core.vo.lookups.PatIdTypeCollection,get,method,43
android.widget.Switch,setOnCheckedChangeListener,method,43
com.eucalyptus.context.Context,getUserFullName,method,43
java.text.Normalizer,normalize,method,43
java.lang.Object,setSpecialty,method,43
org.apache.ignite.internal.util.typedef.internal.U,error,method,43
java.util.Vector,addAll,method,43
com.productlayer.android.sdk.PLYAndroid,Q,variable,43
com.sun.tools.javac.util.List,of,method,43
org.apache.commons.io.output.ByteArrayOutputStream,toByteArray,method,43
rx.Observable,range,method,43
android.hardware.Sensor,TYPE_MAGNETIC_FIELD,variable,43
org.bukkit.configuration.ConfigurationSection,contains,method,43
android.app.Activity,getLayoutInflater,method,43
org.springframework.context.annotation.AnnotationConfigApplicationContext,getBean,method,43
java.nio.file.Files,isRegularFile,method,43
java.sql.DatabaseMetaData,getColumns,method,43
java.util.prefs.Preferences,userRoot,method,43
org.qii.weiciyuan.support.utils.GlobalContext,getInstance,method,43
org.apache.jackrabbit.oak.api.Root,getTree,method,43
org.onosproject.net.flow.DefaultTrafficSelector,builder,method,43
javax.swing.JList,getSelectedValue,method,43
org.eclipse.jdt.internal.core.util.Util,verbose,method,43
org.knowm.xchange.Exchange,getExchangeSpecification,method,43
org.eclipse.core.runtime.IPath,removeFirstSegments,method,43
org.chromium.content.browser.test.util.DOMUtils,longPressNode,method,43
java.util.NavigableSet,add,method,43
com.constellio.model.entities.Language,F,variable,43
javax.servlet.ServletContext,getRealPath,method,43
greymerk.roguelike.worldgen.blocks.BlockType,get,method,43
org.elasticsearch.search.aggregations.bucket.range.Range,getBuckets,method,43
retrofit.RestAdapter,create,method,43
omero.api.IAdminPrx,getGroup,method,43
org.xml.sax.Locator,getLineNumber,method,43
com.fasterxml.jackson.core.JsonToken,END_OBJECT,variable,43
com.google.gwt.regexp.shared.RegExp,compile,method,43
org.telegram.messenger.BuffersStorage,getFreeBuffer,method,43
java.nio.file.Files,createFile,method,43
org.apache.pig.test.utils.GenPhyOp,exprConst,method,43
java.lang.module.Configuration,findModule,method,43
com.intellij.util.containers.ContainerUtil,addIfNotNull,method,43
java.util.Calendar,FEBRUARY,variable,43
android.content.ContentResolver,update,method,43
java.lang.Class,getType,method,43
info.novatec.inspectit.org.objectweb.asm.ClassReader,SKIP_FRAMES,variable,43
java.util.zip.GZIPOutputStream,close,method,43
java.net.HttpURLConnection,HTTP_NOT_FOUND,variable,43
org.chocosolver.solver.variables.IntVar,getLB,method,43
org.apache.jackrabbit.oak.api.Root,commit,method,43
com.google.protobuf.Descriptors,F,variable,43
org.intermine.xml.full.Item,getIdentifier,method,43
io.netty.channel.ChannelFuture,isSuccess,method,43
com.sleepycat.persist.raw.RawStore,getModel,method,43
redis.clients.jedis.Jedis,set,method,43
org.eclipse.swt.graphics.GC,drawLine,method,43
extracells.registries.ItemEnum,STORAGECOMPONET,variable,43
org.apache.hadoop.fs.FSDataInputStream,readFully,method,43
com.paypal.selion.platform.grid.Grid,driver,method,43
org.openmrs.module.openhmis.cashier.api.model.Bill,getLineItems,method,43
javax.mail.Message,getSubject,method,43
com.lowagie.text.Table,addCell,method,43
org.eclipse.titan.designer.AST.IValue,getLocation,method,43
org.apache.lucene.search.BooleanQuery,add,method,43
org.apache.lucene.analysis.TokenStream,incrementToken,method,43
io.netty.channel.Channel,close,method,43
com.rhomobile.rhodes.extmanager.IRhoConfig,getString,method,43
com.fasterxml.jackson.core.JsonParser,getValueAsString,method,43
javax.swing.JEditorPane,setPage,method,43
org.appcelerator.kroll.common.Log,e,method,43
org.openrdf.model.Statement,getPredicate,method,43
java.util.Deque,peek,method,43
