name,total
getpass.getpass,182
mox3.mox.IsA,182
scipy.dot,182
django.utils.encoding.smart_str,182
django.core.cache.cache.get,182
lxml.etree.Element,182
os.path.expandvars,182
hamcrest.assert_that,182
socket.inet_aton,182
io.BytesIO.getvalue,182
cinder.exception.VolumeBackendAPIException,181
cola.i18n.N_,181
.utils.support_types.toDoubleVector,181
Xlib.protocol.rq.Pad,181
pylab.clf,180
django.utils.encoding.force_unicode,180
builtins.range,180
tempfile.NamedTemporaryFile.write,180
pandas.tseries.period.Period,179
tensorflow.placeholder,179
test.test_support.run_unittest,179
numpy.clip,178
matplotlib.use,178
zipfile.ZipFile.write,178
openquake.hazardlib.geo.point.Point,177
slides.Bullet,177
numpy.cumsum,177
pylab.figure,177
numpy.meshgrid,177
time.ctime,177
StringIO.StringIO.getvalue,177
numpy.finfo,177
FreeCAD.ActiveDocument.recompute,176
pywikibot.output,176
PySide.QtGui.QApplication.translate,176
django.core.paginator.Paginator.page,176
numpy.copy,176
tables.tests.common.unittest.TestSuite.addTest,176
networkx.Graph,176
urlparse.parse_qs,176
sqlalchemy.select,175
sys.stderr.flush,175
unicodedata.normalize,175
django.db.migrations.RemoveField,175
matplotlib.pyplot.close,175
django.template.TemplateSyntaxError,175
resources.lib.libraries.client.parseDOM,175
h5py.File,175
file.seek,174
alembic.op.create_index,174
tables.tests.common.unittest.makeSuite,174
twisted.conch.ssh.common.NS,173
pylab.title,173
locale.setlocale,173
Xlib.protocol.rq.Struct,173
parsec.validate.validator,172
inspect.getmembers,172
libmich.core.element.Int,172
taiga.base.utils.json.dumps,171
reppy.parser.Rules.allowed,171
gtk.VBox.pack_start,171
six.b,170
google.protobuf.unittest_pb2.TestAllTypes,169
click.command,169
PyQt5.QtCore.pyqtSignal,169
django.utils.translation.pgettext_lazy,169
cStringIO.StringIO.write,169
neutron.context.get_admin_context,168
ast.literal_eval,168
sympy.assumptions.Q.integer,167
sets.Set,167
trytond.transaction.Transaction,167
numpy.size,166
matplotlib.pyplot.xlim,166
math.degrees,166
webob.exc.HTTPBadRequest,166
django.conf.urls.defaults.url,166
optparse.OptionParser,165
datetime.datetime.utcfromtimestamp,165
os.dup2,165
input.LA,165
matplotlib.pyplot.setp,165
scipy.sparse.csr_matrix,164
netaddr.IPAddress,164
argparse.FileType,163
django.template.Template.render,163
scipy.fftpack.diff,162
numpy.savetxt,162
flask.make_response,162
numpy.squeeze,162
pkg_resources.resource_filename,162
gtk.gdk.color_parse,162
numpy.argmin,161
urllib2.build_opener,161
sympy.assumptions.Q.even,161
os.utime,161
twisted.python.filepath.FilePath,160
django.template.Context,160
numpy.seterr,160
cgi.escape,160
matplotlib.pyplot.gca,159
itertools.groupby,159
django.db.migrations.swappable_dependency,159
logging.StreamHandler.setLevel,159
sympy.assumptions.Q.odd,159
getpass.getuser,158
numpy.percentile,158
unittest.SkipTest,158
django.test.override_settings,158
vtk.vtkRenderer,158
matplotlib.pyplot.ylim,157
utils.AssertPresentationAction,157
socket.setdefaulttimeout,157
utils.StartRecordingAction,157
xbmc.translatePath,157
django.db.models.DecimalField,156
memoryview,156
numpy.logical_and,156
model_mommy.mommy.make,156
tempfile.TemporaryFile,156
selenium.webdriver.support.color.Color,156
pycurl.Curl.setopt,155
tests.utils.helper_test_http_method,155
io.BytesIO.seek,155
cvxopt.matrix,155
bin,154
sqlalchemy.orm.joinedload,154
six.add_metaclass,154
Sketcher.Constraint,154
bottle.route,154
netaddr.IPNetwork,154
.expr.ExprNode,153
webob.Response,153
twisted.python.log.err,153
itertools.chain.from_iterable,153
traceback.format_exception,153
cPickle.loads,153
django.db.models.URLField,153
omero.rtypes.unwrap,152
numpy.minimum,152
numpy.identity,152
theano.tensor.matrix,151
Xlib.protocol.rq.Card16,151
threading.RLock,151
io.StringIO.write,151
traitsui.api.Item,151
fabric.api.local,151
IECore.V2i,151
numpy.float64,151
fabric.api.sudo,150
PyQt5.QtCore.pyqtSlot,150
os.read,150
matplotlib.pyplot.axis,150
numpy.testing.assert_raises,150
sympy.functions.elementary.exponential.log,149
sympy.S,149
ironic.conductor.task_manager.acquire,149
ldb.MessageElement,149
wx.FlexGridSizer.Add,149
alembic.op.alter_column,149
rospy.loginfo,149
twisted.internet.defer.fail,149
threading.currentThread,149
openerp.addons.decimal_precision.get_precision,148
lxml.etree.XML,148
south.db.db.create_unique,148
utils.run_vtctl,148
sympy.core.compatibility.range,148
heat.engine.properties.Schema,148
libcomxml.core.XmlField,147
.utils.support_types.vectorToList,147
os.waitpid,147
math.fabs,147
pylab.show,147
sklearn.utils.testing.assert_array_almost_equal,146
numpy.absolute,146
dart.model.dataset.Column,146
dolo.numeric.tensor.mdot,146
numpy.real,146
sqlalchemy.orm.backref,145
StringIO.StringIO.write,145
twisted.web.microdom.parseString,145
urllib.unquote_plus,145
numpy.isscalar,145
twisted.python.util.OrderedDict.next,144
StringIO.StringIO.seek,144
django.dispatch.receiver,144
time.asctime,144
pyclibrary.c_parser.Type,144
mailbox.Maildir.list_folders,144
PyQt4.QtGui.QColor,144
twisted.internet.reactor.run,144
base64.encodestring,143
wx.NewId,143
unittest.mock.MagicMock,143
mysql.utilities.exception.MUTLibError,143
gtk.Table.attach,143
os.uname,143
io.BytesIO.read,143
twisted.internet.defer.Deferred.callback,143
virttest.libvirt_xml.accessors.XMLAttribute,143
horizon.exceptions.handle,143
os.readlink,143
twisted.internet.defer.maybeDeferred,142
collections.OrderedDict.items,142
socket.getaddrinfo,142
django.utils.translation.ugettext,142
lxml.etree.Element.append,142
openerp.osv.fields.boolean,142
numpy.sign,142
fcntl.fcntl,142
logging.critical,142
blaze.compute.core.compute,141
pretend.stub,141
sympy.utilities.pytest.raises,141
threading.Event.wait,140
gtk.HBox.pack_start,140
numpy.compat.asbytes,140
multiprocessing.cpu_count,140
zipfile.ZipFile.writestr,140
sqlalchemy.Text,140
cffi.FFI.verify,140
email.message_from_string,140
nose.tools.assert_false,140
django.template.Library.inclusion_tag,139
bluesky.Msg,139
xml.etree.ElementTree.parse,139
distutils.version.LooseVersion,139
cPickle.dumps,139
cStringIO.StringIO.getvalue,139
airspeed.Template,139
codecs.charmap_decode,138
safe.utilities.i18n.tr,138
calendar.timegm,138
util.log,138
django.utils.decorators.method_decorator,138
django.utils.translation.ugettext_noop,138
FWCore.ParameterSet.Config.VPSet,138
qiime.util.make_option,138
webob.exc.HTTPNotFound,138
optparse.OptionParser.print_help,137
test.support.unlink,137
numpy.square,137
DIRAC.S_OK,137
outwiker.pages.text.textpage.TextPageFactory,137
xmodule.modulestore.tests.factories.CourseFactory.create,137
yaml.dump,137
alembic.op.drop_index,137
alembic.op.execute,137
optparse.OptionParser.add_option_group,137
flask.Flask.run,136
inspect.currentframe,136
tornado.escape.to_unicode,136
twitter_ads.resource.resource_property,136
template.T,136
ipalib.plugable.Registry,136
itertools.islice,135
distutils.log.info,135
httplib2.Http,135
django.db.migrations.AlterUniqueTogether,135
PyQt4.QtCore.QObject.connect,135
alembic.op.f,135
django.contrib.auth.models.User.objects.filter,135
os.environ.has_key,135
core.scrapertools.cache_page,135
urlparse.urlsplit,134
mdtraj.testing.eq,134
threading.Event.set,134
sqlalchemy.testing.assertsql.CompiledSQL,134
xml.dom.minidom.parseString,134
pkg_resources.resource_string,134
cinder.tests.unit.api.fakes.HTTPRequest.blank,134
numpy.multiply,134
parse_cobertura.hitsPerLine,133
tempest.lib.common.utils.data_utils.rand_name,133
numpy.can_cast,133
django.core.wsgi.get_wsgi_application,133
context.get_request,133
numpy.amax,133
trytond.pool.Pool.get,133
syslog.syslog,133
